addee, addor, resnum, remres, remnum, remrem
11, 45, 56, 57, false, false
11, 46, 57, 58, false, false
11, 47, 58, 59, false, false
11, 48, 59, 00, false, true
11, 49, 00, 01, true, true
11, 50, 01, 02, true, true
11, 51, 02, 03, true, true
11, 52, 03, 04, true, true
11, 53, 04, 05, true, true
11, 54, 05, 06, true, true
11, 55, 06, 07, true, true
11, 56, 07, 08, true, true
11, 57, 08, 09, true, true
11, 58, 09, 10, true, true
11, 59, 10, 11, true, true
12, 00, 12, 13, false, false
12, 01, 13, 14, false, false
12, 02, 14, 15, false, false
12, 03, 15, 16, false, false
12, 04, 16, 17, false, false
12, 05, 17, 18, false, false
12, 06, 18, 19, false, false
12, 07, 19, 20, false, false
12, 08, 20, 21, false, false
12, 09, 21, 22, false, false
12, 10, 22, 23, false, false
12, 11, 23, 24, false, false
12, 12, 24, 25, false, false
12, 13, 25, 26, false, false
12, 14, 26, 27, false, false
12, 15, 27, 28, false, false
12, 16, 28, 29, false, false
12, 17, 29, 30, false, false
12, 18, 30, 31, false, false
12, 19, 31, 32, false, false
12, 20, 32, 33, false, false
12, 21, 33, 34, false, false
12, 22, 34, 35, false, false
12, 23, 35, 36, false, false
12, 24, 36, 37, false, false
12, 25, 37, 38, false, false
12, 26, 38, 39, false, false
12, 27, 39, 40, false, false
12, 28, 40, 41, false, false
12, 29, 41, 42, false, false
12, 30, 42, 43, false, false
12, 31, 43, 44, false, false
12, 32, 44, 45, false, false
12, 33, 45, 46, false, false
12, 34, 46, 47, false, false
12, 35, 47, 48, false, false
12, 36, 48, 49, false, false
12, 37, 49, 50, false, false
12, 38, 50, 51, false, false
12, 39, 51, 52, false, false
12, 40, 52, 53, false, false
12, 41, 53, 54, false, false
12, 42, 54, 55, false, false
12, 43, 55, 56, false, false
12, 44, 56, 57, false, false
12, 45, 57, 58, false, false
12, 46, 58, 59, false, false
12, 47, 59, 00, false, true
12, 48, 00, 01, true, true
12, 49, 01, 02, true, true
12, 50, 02, 03, true, true
12, 51, 03, 04, true, true
